DMU_ID,Firm,Channel,Time_Period,Spend,Sessions,Conversion_Rate,Revenue,Efficiency_Score
DMU_01,ASOS,SEO,FY2025,30204000.0,344322000.0,0.03,446004000.0,0.9042
DMU_02,ASOS,PAID_SEARCH,FY2025,73832000.0,841676000.0,0.03,1090232000.0,0.9554
DMU_03,ASOS,EMAIL,FY2025,16780000.0,191290000.0,0.03,247780000.0,1.0
DMU_04,ASOS,SOCIAL_MEDIA,FY2025,46984000.0,535612000.0,0.03,693784000.0,0.9259
DMU_05,ASOS,SEO,FY2024,38100000.0,450480000.0,0.03,581160000.0,0.9425
DMU_06,ASOS,PAID_SEARCH,FY2024,89535000.0,1058628000.0,0.03,1365726000.0,1.0
DMU_07,ASOS,EMAIL,FY2024,19050000.0,225240000.0,0.03,290580000.0,0.9986
DMU_08,ASOS,SOCIAL_MEDIA,FY2024,43815000.0,518052000.0,0.03,668334000.0,0.9556
DMU_09,Boohoo,SEO,FY2025,17588000.0,200718000.0,0.026,142254000.0,0.9596
DMU_10,Boohoo,PAID_SEARCH,FY2025,43516000.0,348996000.0,0.026,347732000.0,0.5868
DMU_11,Boohoo,EMAIL,FY2025,9771000.0,79007000.0,0.026,79030000.0,1.0
DMU_12,Boohoo,SOCIAL_MEDIA,FY2025,27209000.0,222651000.0,0.026,221585000.0,0.6674
DMU_13,Boohoo,SEO,FY2024,20034000.0,235620000.0,0.027,162460000.0,0.9442
DMU_14,Boohoo,PAID_SEARCH,FY2024,49551000.0,410220000.0,0.027,397014000.0,0.5875
DMU_15,Boohoo,EMAIL,FY2024,11130000.0,92700000.0,0.027,90230000.0,0.9655
DMU_16,Boohoo,SOCIAL_MEDIA,FY2024,30985000.0,261460000.0,0.027,253496000.0,0.6592
DMU_17,Next,SEO,FY2025,32400000.0,457128000.0,0.035,457200000.0,1.0
DMU_18,Next,PAID_SEARCH,FY2025,79200000.0,794952000.0,0.035,793980000.0,1.0
DMU_19,Next,EMAIL,FY2025,18000000.0,179982000.0,0.035,179900000.0,1.0
DMU_20,Next,SOCIAL_MEDIA,FY2025,50400000.0,508438000.0,0.035,507620000.0,0.7839
DMU_21,Next,SEO,FY2024,29106000.0,410148000.0,0.034,410200000.0,1.0
DMU_22,Next,PAID_SEARCH,FY2024,71127000.0,713622000.0,0.034,713500000.0,0.8814
DMU_23,Next,EMAIL,FY2024,16170000.0,161550000.0,0.034,161500000.0,1.0
DMU_24,Next,SOCIAL_MEDIA,FY2024,45045000.0,455610000.0,0.034,455400000.0,0.7169
DMU_25,THG,SEO,FY2025,30906000.0,309078000.0,0.028,309222000.0,0.7508
DMU_26,THG,PAID_SEARCH,FY2025,76518000.0,537798000.0,0.028,537476000.0,0.5236
DMU_27,THG,EMAIL,FY2025,17226000.0,121770000.0,0.028,121780000.0,0.7269
DMU_28,THG,SOCIAL_MEDIA,FY2025,48006000.0,343350000.0,0.028,343222000.0,0.5251
DMU_29,THG,SEO,FY2024,31525000.0,315252000.0,0.027,315252000.0,0.7475
DMU_30,THG,PAID_SEARCH,FY2024,78029000.0,548436000.0,0.027,548436000.0,0.5264
DMU_31,THG,EMAIL,FY2024,17559000.0,124290000.0,0.027,124290000.0,0.707
DMU_32,THG,SOCIAL_MEDIA,FY2024,48931000.0,350622000.0,0.027,350622000.0,0.5238
DMU_33,M&S,SEO,FY2025,21546000.0,6930000.0,0.029,745000000.0,1.0
DMU_34,M&S,PAID_SEARCH,FY2025,53274000.0,16940000.0,0.029,1820800000.0,1.0
DMU_35,M&S,EMAIL,FY2025,11988000.0,3850000.0,0.029,413780000.0,1.0
DMU_36,M&S,SOCIAL_MEDIA,FY2025,33516000.0,10780000.0,0.029,1158400000.0,1.0
DMU_37,M&S,SEO,FY2024,20340000.0,6640000.0,0.028,684200000.0,0.9736
DMU_38,M&S,PAID_SEARCH,FY2024,50295000.0,15604000.0,0.028,1673700000.0,0.972
DMU_39,M&S,EMAIL,FY2024,11322000.0,3320000.0,0.028,380200000.0,1.0
DMU_40,M&S,SOCIAL_MEDIA,FY2024,31668000.0,7636000.0,0.028,1064500000.0,0.9725
