DMU_ID,Firm,Channel,Time_Period,Efficiency_Score,Input_Slack_Spend_GBP
DMU_01,ASOS,SEO,FY2025,0.9042,2893543.0
DMU_02,ASOS,PAID_SEARCH,FY2025,0.9554,3292907.0
DMU_03,ASOS,EMAIL,FY2025,1.0,0.0
DMU_04,ASOS,SOCIAL_MEDIA,FY2025,0.9259,3481514.0
DMU_05,ASOS,SEO,FY2024,0.9425,2190750.0
DMU_06,ASOS,PAID_SEARCH,FY2024,1.0,0.0
DMU_07,ASOS,EMAIL,FY2024,0.9986,26670.0
DMU_08,ASOS,SOCIAL_MEDIA,FY2024,0.9556,1945386.0
DMU_09,Boohoo,SEO,FY2025,0.9596,710555.0
DMU_10,Boohoo,PAID_SEARCH,FY2025,0.5868,17980811.0
DMU_11,Boohoo,EMAIL,FY2025,1.0,0.0
DMU_12,Boohoo,SOCIAL_MEDIA,FY2025,0.6674,9049713.0
DMU_13,Boohoo,SEO,FY2024,0.9442,1117897.0
DMU_14,Boohoo,PAID_SEARCH,FY2024,0.5875,20439788.0
DMU_15,Boohoo,EMAIL,FY2024,0.9655,383985.0
DMU_16,Boohoo,SOCIAL_MEDIA,FY2024,0.6592,10559688.0
DMU_17,Next,SEO,FY2025,1.0,0.0
DMU_18,Next,PAID_SEARCH,FY2025,1.0,0.0
DMU_19,Next,EMAIL,FY2025,1.0,0.0
DMU_20,Next,SOCIAL_MEDIA,FY2025,0.7839,10891440.0
DMU_21,Next,SEO,FY2024,1.0,0.0
DMU_22,Next,PAID_SEARCH,FY2024,0.8814,8435662.0
DMU_23,Next,EMAIL,FY2024,1.0,0.0
DMU_24,Next,SOCIAL_MEDIA,FY2024,0.7169,12752240.0
DMU_25,THG,SEO,FY2025,0.7508,7701775.0
DMU_26,THG,PAID_SEARCH,FY2025,0.5236,36453175.0
DMU_27,THG,EMAIL,FY2025,0.7269,4704421.0
DMU_28,THG,SOCIAL_MEDIA,FY2025,0.5251,22798049.0
DMU_29,THG,SEO,FY2024,0.7475,7960062.0
DMU_30,THG,PAID_SEARCH,FY2024,0.5264,36954534.0
DMU_31,THG,EMAIL,FY2024,0.707,5144787.0
DMU_32,THG,SOCIAL_MEDIA,FY2024,0.5238,23300942.0
DMU_33,M&S,SEO,FY2025,1.0,0.0
DMU_34,M&S,PAID_SEARCH,FY2025,1.0,0.0
DMU_35,M&S,EMAIL,FY2025,1.0,0.0
DMU_36,M&S,SOCIAL_MEDIA,FY2025,1.0,0.0
DMU_37,M&S,SEO,FY2024,0.9736,536976.0
DMU_38,M&S,PAID_SEARCH,FY2024,0.972,1408260.0
DMU_39,M&S,EMAIL,FY2024,1.0,0.0
DMU_40,M&S,SOCIAL_MEDIA,FY2024,0.9725,870870.0
