DMU_ID,Firm,Channel,Time_Period,Efficiency_Score
DMU_01,ASOS,SEO,FY2025,0.9681
DMU_02,ASOS,PAID_SEARCH,FY2025,0.9681
DMU_03,ASOS,EMAIL,FY2025,1.0
DMU_04,ASOS,SOCIAL_MEDIA,FY2025,0.9681
DMU_05,ASOS,SEO,FY2024,1.0
DMU_06,ASOS,PAID_SEARCH,FY2024,1.0
DMU_07,ASOS,EMAIL,FY2024,1.0
DMU_08,ASOS,SOCIAL_MEDIA,FY2024,1.0
DMU_09,Boohoo,SEO,FY2025,0.9596
DMU_10,Boohoo,PAID_SEARCH,FY2025,0.5868
DMU_11,Boohoo,EMAIL,FY2025,1.0
DMU_12,Boohoo,SOCIAL_MEDIA,FY2025,0.6674
DMU_13,Boohoo,SEO,FY2024,0.9442
DMU_14,Boohoo,PAID_SEARCH,FY2024,0.5875
DMU_15,Boohoo,EMAIL,FY2024,0.9655
DMU_16,Boohoo,SOCIAL_MEDIA,FY2024,0.6592
DMU_17,Next,SEO,FY2025,1.0
DMU_18,Next,PAID_SEARCH,FY2025,1.0
DMU_19,Next,EMAIL,FY2025,1.0
DMU_20,Next,SOCIAL_MEDIA,FY2025,0.7839
DMU_21,Next,SEO,FY2024,1.0
DMU_22,Next,PAID_SEARCH,FY2024,0.8814
DMU_23,Next,EMAIL,FY2024,1.0
DMU_24,Next,SOCIAL_MEDIA,FY2024,0.7169
DMU_25,THG,SEO,FY2025,0.7508
DMU_26,THG,PAID_SEARCH,FY2025,0.5236
DMU_27,THG,EMAIL,FY2025,0.7269
DMU_28,THG,SOCIAL_MEDIA,FY2025,0.5251
DMU_29,THG,SEO,FY2024,0.7475
DMU_30,THG,PAID_SEARCH,FY2024,0.5264
DMU_31,THG,EMAIL,FY2024,0.707
DMU_32,THG,SOCIAL_MEDIA,FY2024,0.5238
